,durations_peak_amp
0,11.280000000000001
1,13.15043044776278
2,5.939999999999998
3,10.583870703096382
4,15.46
5,21.284566242557887
6,14.570000000000007
7,14.873558035452078
8,5.68
9,5.952911029270568
10,13.46
11,23.69852816970071
12,16.120000000000005
13,16.30042492896138
14,13.970000000000006
15,17.868877254476406
16,4.669999999999995
17,5.8310049423758805
18,11.299999999999997
19,20.075871516670542
20,5.550000000000004
21,5.5950472732624394
22,7.030000000000001
23,13.147102104491788
24,7.480000000000004
25,12.108385268644616
26,5.399999999999999
27,9.619210197867918
28,8.36
29,9.664698575059784
30,15.780000000000001
31,15.869730071931537
32,2.769999999999996
33,3.611741536983712
34,8.730000000000004
35,11.948978789331328
36,8.82
37,10.123995086908646
38,14.14
39,15.354676951000581
40,3.990000000000002
41,6.425954677646526
42,9.740000000000009
43,18.899542669273206
44,11.020000000000003
45,19.063051615979717
46,10.809999999999995
47,19.49094861148377
48,10.469999999999999
49,13.298449262565196
50,22.259999999999998
51,31.41227380255312
52,3.1799999999999997
53,6.301246619524791
54,11.299999999999997
55,15.572217602586331
56,7.310000000000009
57,12.336612709176958
58,8.269999999999996
59,10.652404371930771
60,6.760000000000005
61,7.1770479310396365
62,3.6300000000000026
63,4.683243249638964
64,15.590000000000003
65,27.463654282508962
66,4.380000000000003
67,5.7327660177354645
68,8.350000000000001
69,9.797835745032197
70,7.790000000000006
71,11.44148337151317
72,5.980000000000004
73,10.348012600357281
74,12.599999999999994
75,17.279714318280877
76,13.229999999999997
77,16.438961722150335
78,6.980000000000004
79,9.727609775060865
80,13.96
81,26.122633748275796
82,10.669999999999995
83,18.68473116881703
84,14.509999999999991
85,27.754597103311877
86,7.089999999999989
87,8.910431431707096
88,14.129999999999995
89,15.503626993286884
90,4.240000000000002
91,8.202275606365063
92,5.359999999999999
93,5.540671221718901
94,4.039999999999999
95,7.774268111510494
96,8.589999999999996
97,16.615885033895943
98,10.619999999999997
99,17.552033508644307
100,9.099999999999994
101,12.901697150254828
102,2.780000000000001
103,3.2481671748768397
104,10.120000000000005
105,17.867517679865664
106,5.3700000000000045
107,10.095476825758139
108,21.08
109,39.95130435203486
110,2.6999999999999957
111,5.346182287802407
112,5.359999999999999
113,10.633129739074764
114,10.739999999999995
115,18.812129919375995
116,3.460000000000001
117,3.5493147509410616
118,26.41000000000001
119,33.881141211531705
120,11.11999999999999
121,13.324645114692274
122,20.010000000000005
123,28.198719747140895
124,9.149999999999999
125,13.383419003177927
126,14.969999999999992
127,16.398270188257158
128,10.43
129,12.659220470415823
130,17.529999999999994
131,26.41817499611588
132,17.270000000000003
133,30.850918801204614
134,5.6200000000000045
135,7.765235485269374
136,7.490000000000002
137,10.320683704767147
138,6.400000000000006
139,9.723896872504787
140,24.61999999999999
141,38.445376831533565
142,7.410000000000004
143,8.61519576801806
144,9.86
145,15.63167927109888
146,8.870000000000005
147,12.604163052714135
148,12.419999999999995
149,15.08712684329733
150,12.5
151,15.104851823430437
152,17.630000000000003
153,26.49291835065075
154,8.369999999999997
155,11.433689688611409
156,6.75
157,6.873821484928758
158,18.549999999999997
159,22.284249032149905
160,10.839999999999996
161,12.5464271386302
162,16.769999999999996
163,23.34457663679434
164,16.43999999999999
165,18.221181088629613
166,6.1200000000000045
167,9.32325382147903
168,8.090000000000003
